time	Light
12:50	62
12:51	61
12:51	62
12:51	60
12:51	59
12:51	61
12:52	62
12:52	63
12:52	62
12:52	63
12:52	63
12:53	64
12:53	64
12:53	64
12:53	63
12:53	64
12:54	63
12:54	63
12:54	65
12:54	65
12:54	64
12:54	64
12:55	64
12:55	63
12:55	64
12:55	64
12:55	64
12:56	64
12:56	68
12:56	65
12:56	65
12:56	66
12:57	66
12:57	66
12:57	65
12:57	66
12:57	64
12:58	64
12:58	63
12:58	65
12:58	66
12:58	66
12:59	65
12:59	65
12:59	65
12:59	63
12:59	62
13:00	64
13:00	62
13:00	61
13:00	62
13:00	62
13:01	62
13:01	60
13:01	60
13:01	59
13:01	59
13:02	57
13:02	62
13:02	57
13:02	56
13:02	56
13:02	57
13:03	56
13:03	57
13:03	57
13:03	58
13:03	59
13:04	60
13:04	58
13:04	59
13:04	52
13:04	57
13:05	59
13:05	56
13:05	57
13:05	56
13:05	57
13:06	59
13:06	56
13:06	56
13:06	56
13:06	54
13:07	53
13:07	56
13:07	54
13:07	48
13:07	55
13:08	54
13:08	55
13:08	53
13:08	46
13:08	54
13:09	52
13:09	52
13:09	51
13:09	53
13:09	52
13:10	53
13:10	50
13:10	52
13:10	52
13:10	53
13:11	54
13:11	52
13:11	52
13:11	52
13:11	52
13:11	50
13:12	52
13:12	52
13:12	53
13:12	53
13:12	53
13:13	51
13:13	48
13:13	54
13:13	59
13:13	52
13:14	44
13:14	53
13:14	58
13:14	52
13:14	52
13:15	54
13:15	55
13:15	56
13:15	56
13:15	57
13:16	56
13:16	55
13:16	53
13:16	59
13:16	58
13:17	59
13:17	60
13:17	59
13:17	60
13:17	60
13:18	60
13:18	60
13:18	60
13:18	60
13:18	62
13:19	62
13:19	63
13:19	63
13:19	64
13:19	63
13:19	64
13:20	64
13:20	64
13:20	64
13:20	65
13:20	64
13:21	67
13:21	66
13:21	66
13:21	64
13:21	65
13:22	66
13:22	66
13:22	65
13:22	48
13:22	94
13:23	156
13:23	151
13:23	161
13:23	161
13:23	154
13:24	144
13:24	161
13:24	166
13:24	160
13:24	163
13:25	164
13:25	165
13:25	167
13:25	141
13:25	169
13:26	169
13:26	169
13:26	169
13:26	171
13:26	163
13:27	167
13:27	170
13:27	148
13:27	145
13:27	170
13:27	170
13:28	167
13:28	165
13:28	161
13:28	160
13:28	157
13:29	156
13:29	156
13:29	156
